"Date","Event"
,
,
"2004-06","WHATWG founded by Mozilla, Opera & Apple"
,
,
,
,
"2008-09-01","Google launches Chrome, based on open source Chromium"
,
,
,
2012,"Chrome shares surpasses FF"
2012,"Chrome shares surpasses MSIE"
